start_date,start_time,finish_date,finish_time,name,gift,vip_gift
20180429,00:00:08.229158,20180429,00:00:08.945409,贝汯璘,31481,11388
20180429,00:00:08.229158,20180429,00:00:08.945409,毕雯珺,1189899,430275
20180429,00:00:08.229158,20180429,00:00:08.945409,卜凡,3321393,537670
20180429,00:00:08.229158,20180429,00:00:08.945409,蔡徐坤,5005566,2112215
20180429,00:00:08.229158,20180429,00:00:08.945409,陈立农,5000148,1087827
20180429,00:00:08.229158,20180429,00:00:08.945409,陈名豪,13674,5568
20180429,00:00:08.229158,20180429,00:00:08.945409,陈斯琪,30270,13742
20180429,00:00:08.229158,20180429,00:00:08.945409,陈义夫,6020,2752
20180429,00:00:08.229158,20180429,00:00:08.945409,邓烺怡,9117,4036
20180429,00:00:08.229158,20180429,00:00:08.945409,丁泽仁,613963,195785
20180429,00:00:08.229158,20180429,00:00:08.945409,董岩磊,107825,53978
20180429,00:00:08.229158,20180429,00:00:08.945409,范丞丞,5017833,884838
20180429,00:00:08.229158,20180429,00:00:08.945409,甘俊,3979,1783
20180429,00:00:08.229158,20180429,00:00:08.945409,高茂桐,9564,4241
20180429,00:00:08.229158,20180429,00:00:08.945409,GIGEL,8223,3301
20180429,00:00:08.229158,20180429,00:00:08.945409,韩沐伯,904407,141044
20180429,00:00:08.229158,20180429,00:00:08.945409,韩雍杰,242118,13745
20180429,00:00:08.229158,20180429,00:00:08.945409,何东东,157828,57962
20180429,00:00:08.229158,20180429,00:00:08.945409,何嘉庚,2774,934
20180429,00:00:08.229158,20180429,00:00:08.945409,Hook于浩,2310,1032
20180429,00:00:08.229158,20180429,00:00:08.945409,侯浩然,2387,1083
20180429,00:00:08.229158,20180429,00:00:08.945409,胡致邦,333369,32876
20180429,00:00:08.229158,20180429,00:00:08.945409,黄若涵,2217,679
20180429,00:00:08.229158,20180429,00:00:08.945409,黄书豪,49802,18634
20180429,00:00:08.229158,20180429,00:00:08.945409,黄新淳,307454,137318
20180429,00:00:08.229158,20180429,00:00:08.945409,Jeffrey,920904,191625
20180429,00:00:08.229158,20180429,00:00:08.945409,伽里,11787,3510
20180429,00:00:08.229158,20180429,00:00:08.945409,姜达赫,5800,2395
20180429,00:00:08.229158,20180429,00:00:08.945409,姜京佐,19242,7774
20180429,00:00:08.229158,20180429,00:00:08.945409,金逸涵,7168,3497
20180429,00:00:08.229158,20180429,00:00:08.945409,靖佩瑶,137878,38113
20180429,00:00:08.229158,20180429,00:00:08.945409,J-ONE,1798,652
20180429,00:00:08.229158,20180429,00:00:08.945409,Justin,5000608,888088
20180429,00:00:08.229158,20180429,00:00:08.945409,李长庚,126271,18106
20180429,00:00:08.229158,20180429,00:00:08.945409,李俊毅,48720,27009
20180429,00:00:08.229158,20180429,00:00:08.945409,李权哲,632261,199524
20180429,00:00:08.229158,20180429,00:00:08.945409,李让,118861,14722
20180429,00:00:08.229158,20180429,00:00:08.945409,李若天,11091,4987
20180429,00:00:08.229158,20180429,00:00:08.945409,李希侃,1210264,384921
20180429,00:00:08.229158,20180429,00:00:08.945409,李鑫岩,3406,1024
